make,wheel_base,length,width,height,curb_weight,engine_size,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
audi,88.6,168.8,64.1,48.8,2548,130,9,111,5000,21,27,13495
audi,88.6,168.8,64.1,48.8,2548,130,9,111,5000,21,27,16500
audi,94.5,171.2,65.5,52.4,2823,152,9,154,5000,19,26,16500
audi,99.8,176.6,66.2,54.3,2337,109,10,102,5500,24,30,13950
audi,99.4,176.6,66.4,54.3,2824,136,8,115,5500,18,22,17450
audi,99.8,177.3,66.3,53.1,2507,136,8.5,110,5500,19,25,15250
audi,105.8,192.7,71.4,55.7,2844,136,8.5,110,5500,19,25,17710
audi,105.8,192.7,71.4,55.7,2954,136,8.5,110,5500,19,25,18920
audi,105.8,192.7,71.4,55.9,3086,131,8.3,140,5500,17,20,23875
bmw,101.2,176.8,64.8,54.3,2395,108,8.8,101,5800,23,29,16430
bmw,101.2,176.8,64.8,54.3,2395,108,8.8,101,5800,23,29,16925
bmw,101.2,176.8,64.8,54.3,2710,164,9,121,4250,21,28,20970
bmw,101.2,176.8,64.8,54.3,2765,164,9,121,4250,21,28,21105
bmw,103.5,189,66.9,55.7,3055,164,9,121,4250,20,25,24565
bmw,103.5,189,66.9,55.7,3230,209,8,182,5400,16,22,30760
bmw,103.5,193.8,67.9,53.7,3380,209,8,182,5400,16,22,41315
bmw,110,197,70.9,56.3,3505,209,8,182,5400,15,20,36880
bmw,88.4,141.1,60.3,53.2,1488,61,9.5,48,5100,47,53,5151
bmw,94.5,155.9,63.6,52,1874,90,9.6,70,5400,38,43,6295
bmw,94.5,158.8,63.6,52,1909,90,9.6,70,5400,38,43,6575
honda,93.7,157.3,63.8,50.8,1876,90,9.41,68,5500,37,41,5572
honda,93.7,157.3,63.8,50.8,1876,90,9.4,68,5500,31,38,6377
honda,93.7,157.3,63.8,50.8,2128,98,7.6,102,5500,24,30,7957
honda,93.7,157.3,63.8,50.6,1967,90,9.4,68,5500,31,38,6229
honda,93.7,157.3,63.8,50.6,1989,90,9.4,68,5500,31,38,6692
honda,93.7,157.3,63.8,50.6,1989,90,9.4,68,5500,31,38,7609
honda,93.7,157.3,63.8,50.6,2191,98,7.6,102,5500,24,30,8558
honda,103.3,174.6,64.6,59.8,2535,122,8.5,88,5000,24,30,8921
honda,95.9,173.2,66.3,50.2,2811,156,7,145,5000,19,24,12964
honda,86.6,144.6,63.9,50.8,1713,92,9.6,58,4800,49,54,6479
honda,86.6,144.6,63.9,50.8,1819,92,9.2,76,6000,31,38,6855
honda,93.7,150,64,52.6,1837,79,10.1,60,5500,38,42,5399
honda,93.7,150,64,52.6,1940,92,9.2,76,6000,30,34,6529
honda,93.7,150,64,52.6,1956,92,9.2,76,6000,30,34,7129
honda,96.5,163.4,64,54.5,2010,92,9.2,76,6000,30,34,7295
honda,96.5,157.1,63.9,58.3,2024,92,9.2,76,6000,30,34,7295
honda,96.5,167.5,65.2,53.3,2236,110,9,86,5800,27,33,7895
honda,96.5,167.5,65.2,53.3,2289,110,9,86,5800,27,33,9095
honda,96.5,175.4,65.2,54.1,2304,110,9,86,5800,27,33,8845
honda,96.5,175.4,62.5,54.1,2372,110,9,86,5800,27,33,10295
honda,96.5,175.4,65.2,54.1,2465,110,9,101,5800,24,28,12945
honda,96.5,169.1,66,51,2293,110,9.1,100,5500,25,31,10345
mazda,94.3,170.7,61.8,53.5,2337,111,8.5,78,4800,24,29,6785
mazda,96,172.6,65.2,51.4,2734,119,9.2,90,5000,24,29,11048
mazda,113,199.6,69.6,52.8,4066,258,8.1,176,4750,15,19,32250
mazda,113,199.6,69.6,52.8,4066,258,8.1,176,4750,15,19,35550
mazda,102,191.7,70.6,47.8,3950,326,11.5,262,5000,13,17,36000
mazda,93.1,159.1,64.2,54.1,1890,91,9,68,5000,30,31,5195
mazda,93.1,159.1,64.2,54.1,1900,91,9,68,5000,31,38,6095
mazda,93.1,159.1,64.2,54.1,1905,91,9,68,5000,31,38,6795
mazda,93.1,166.8,64.2,54.1,1945,91,9,68,5000,31,38,6695
mazda,93.1,166.8,64.2,54.1,1950,91,9,68,5000,31,38,7395
mazda,95.3,169,65.7,49.6,2380,70,9.4,101,6000,17,23,10945
mazda,95.3,169,65.7,49.6,2380,70,9.4,101,6000,17,23,11845
mazda,95.3,169,65.7,49.6,2385,70,9.4,101,6000,17,23,13645
mazda,95.3,169,65.7,49.6,2500,80,9.4,135,6000,16,23,15645
mazda,98.8,177.8,66.5,53.7,2385,122,8.6,84,4800,26,32,8845
mazda,98.8,177.8,66.5,55.5,2410,122,8.6,84,4800,26,32,8495
mazda,98.8,177.8,66.5,53.7,2385,122,8.6,84,4800,26,32,10595
mazda,98.8,177.8,66.5,55.5,2410,122,8.6,84,4800,26,32,10245
mazda,98.8,177.8,66.5,55.5,2443,122,22.7,64,4650,36,42,10795
mazda,98.8,177.8,66.5,55.5,2425,122,8.6,84,4800,26,32,11245
mazda,104.9,175,66.1,54.4,2670,140,8,120,5000,19,27,18280
mazda,104.9,175,66.1,54.4,2700,134,22,72,4200,31,39,18344
audi,110,190.9,70.3,56.5,3515,183,21.5,123,4350,22,25,25552
audi,110,190.9,70.3,58.7,3750,183,21.5,123,4350,22,25,28248
audi,106.7,187.5,70.3,54.9,3495,183,21.5,123,4350,22,25,28176
audi,115.6,202.6,71.7,56.3,3770,183,21.5,123,4350,22,25,31600
audi,115.6,202.6,71.7,56.5,3740,234,8.3,155,4750,16,18,34184
audi,96.6,180.3,70.5,50.8,3685,234,8.3,155,4750,16,18,35056
audi,120.9,208.1,71.7,56.7,3900,308,8,184,4500,14,16,40960
audi,112,199.2,72,55.4,3715,304,8,184,4500,14,16,45400
audi,102.7,178.4,68,54.8,2910,140,8,175,5000,19,24,16503
audi,93.7,157.3,64.4,50.8,1918,92,9.4,68,5500,37,41,5389
audi,93.7,157.3,64.4,50.8,1944,92,9.4,68,5500,31,38,6189
audi,93.7,157.3,64.4,50.8,2004,92,9.4,68,5500,31,38,6669
audi,93,157.3,63.8,50.8,2145,98,7.6,102,5500,24,30,7689
audi,96.3,173,65.4,49.4,2370,110,7.5,116,5500,23,30,9959
audi,96.3,173,65.4,49.4,2328,122,8.5,88,5000,25,32,8499
audi,95.9,173.2,66.3,50.2,2833,156,7,145,5000,19,24,12629
audi,95.9,173.2,66.3,50.2,2921,156,7,145,5000,19,24,14869
audi,95.9,173.2,66.3,50.2,2926,156,7,145,5000,19,24,14489
audi,96.3,172.4,65.4,51.6,2365,122,8.5,88,5000,25,32,6989
audi,96.3,172.4,65.4,51.6,2405,122,8.5,88,5000,25,32,8189
audi,96.3,172.4,65.4,51.6,2403,110,7.5,116,5500,23,30,9279
audi,96.3,172.4,65.4,51.6,2403,110,7.5,116,5500,23,30,9279
audi,94.5,165.3,63.8,54.5,1889,97,9.4,69,5200,31,37,5499
audi,94.5,165.3,63.8,54.5,2017,103,21.9,55,4800,45,50,7099
audi,94.5,165.3,63.8,54.5,1918,97,9.4,69,5200,31,37,6649
audi,94.5,165.3,63.8,54.5,1938,97,9.4,69,5200,31,37,6849
audi,94.5,170.2,63.8,53.5,2024,97,9.4,69,5200,31,37,7349
audi,94.5,165.3,63.8,54.5,1951,97,9.4,69,5200,31,37,7299
audi,94.5,165.6,63.8,53.3,2028,97,9.4,69,5200,31,37,7799
audi,94.5,165.3,63.8,54.5,1971,97,9.4,69,5200,31,37,7499
audi,94.5,170.2,63.8,53.5,2037,97,9.4,69,5200,31,37,7999
audi,95.1,162.4,63.8,53.3,2008,97,9.4,69,5200,31,37,8249
audi,97.2,173.4,65.2,54.7,2324,120,8.5,97,5200,27,34,8949
audi,97.2,173.4,65.2,54.7,2302,120,8.5,97,5200,27,34,9549
audi,100.4,181.7,66.5,55.1,3095,181,9,152,5200,17,22,13499
audi,100.4,184.6,66.5,56.1,3296,181,9,152,5200,17,22,14399
audi,100.4,184.6,66.5,55.1,3060,181,9,152,5200,19,25,13499
audi,91.3,170.7,67.9,49.7,3071,181,9,160,5200,19,25,17199
audi,91.3,170.7,67.9,49.7,3139,181,7.8,200,5200,17,23,19699
audi,99.2,178.5,67.9,49.7,3139,181,9,160,5200,19,25,18399
peugot,107.9,186.7,68.4,56.7,3020,120,8.4,97,5000,19,24,11900
peugot,107.9,186.7,68.4,56.7,3197,152,21,95,4150,28,33,13200
peugot,114.2,198.9,68.4,58.7,3230,120,8.4,97,5000,19,24,12440
peugot,114.2,198.9,68.4,58.7,3430,152,21,95,4150,25,25,13860
peugot,107.9,186.7,68.4,56.7,3075,120,8.4,95,5000,19,24,15580
peugot,107.9,186.7,68.4,56.7,3252,152,21,95,4150,28,33,16900
peugot,114.2,198.9,68.4,56.7,3285,120,8.4,95,5000,19,24,16695
peugot,114.2,198.9,68.4,58.7,3485,152,21,95,4150,25,25,17075
peugot,107.9,186.7,68.4,56.7,3075,120,8.4,97,5000,19,24,16630
peugot,107.9,186.7,68.4,56.7,3252,152,21,95,4150,28,33,17950
peugot,108,186.7,68.3,56,3130,134,7,142,5600,18,24,18150
bmw,93.7,157.3,63.8,50.8,1918,90,9.4,68,5500,37,41,5572
bmw,93.7,157.3,63.8,50.8,2128,98,7.6,102,5500,24,30,7957
bmw,93.7,157.3,63.8,50.6,1967,90,9.4,68,5500,31,38,6229
bmw,93.7,167.3,63.8,50.8,1989,90,9.4,68,5500,31,38,6692
bmw,93.7,167.3,63.8,50.8,2191,98,9.4,68,5500,31,38,7609
bmw,103.3,174.6,64.6,59.8,2535,122,8.5,88,5000,24,30,8921
bmw,95.9,173.2,66.3,50.2,2818,156,7,145,5000,19,24,12764
bmw,94.5,168.9,68.3,50.2,2778,151,9.5,143,5500,19,27,22018
bmw,89.5,168.9,65,51.6,2756,194,9.5,207,5900,17,25,32528
bmw,89.5,168.9,65,51.6,2756,194,9.5,207,5900,17,25,34028
bmw,89.5,168.9,65,51.6,2800,194,9.5,207,5900,17,25,37028
saab,99.1,186.6,66.5,56.1,2695,121,9.3,110,5250,21,28,12170
saab,99.1,186.6,66.5,56.1,2707,121,9.3,110,5250,21,28,15040
saab,99.1,186.6,66.5,56.1,2758,121,9.3,110,5250,21,28,15510
saab,99.1,186.6,66.5,56.1,2808,121,9,160,5500,19,26,18150
saab,99.1,186.6,66.5,56.1,2847,121,9,160,5500,19,26,18620
saab,93.7,156.9,63.4,53.7,2050,97,9,69,4900,31,36,5118
saab,93.7,157.9,63.6,53.7,2120,108,8.7,73,4400,26,31,7053
saab,93.3,157.3,63.8,55.7,2240,108,8.7,73,4400,26,31,7603
saab,97.2,172,65.4,52.5,2145,108,9.5,82,4800,32,37,7126
saab,97.2,172,65.4,52.5,2190,108,9.5,82,4400,28,33,7775
saab,97.2,172,65.4,52.5,2340,108,9,94,5200,26,32,9960
saab,97,172,65.4,54.3,2385,108,9,82,4800,24,25,9233
saab,97,172,65.4,54.3,2510,108,7.7,111,4800,24,29,11259
saab,97,173.5,65.4,53,2290,108,9,82,4800,28,32,7463
saab,97,173.5,65.4,53,2455,108,9,94,5200,25,31,10198
saab,96.9,173.6,65.4,54.9,2420,108,9,82,4800,23,29,8013
saab,96.9,173.6,65.4,54.9,2650,108,7.7,111,4800,23,23,11694
toyota,95.7,158.7,63.6,54.5,1985,92,9,62,4800,35,39,5348
toyota,95.7,158.7,63.6,54.5,2040,92,9,62,4800,31,38,6338
toyota,95.7,158.7,63.6,54.5,2015,92,9,62,4800,31,38,6488
toyota,95.7,169.7,63.6,59.1,2280,92,9,62,4800,31,37,6918
toyota,95.7,169.7,63.6,59.1,2290,92,9,62,4800,27,32,7898
toyota,95.7,169.7,63.6,59.1,3110,92,9,62,4800,27,32,8778
toyota,95.7,166.3,64.4,53,2081,98,9,70,4800,30,37,6938
toyota,95.7,166.3,64.4,52.8,2109,98,9,70,4800,30,37,7198
toyota,95.7,166.3,64.4,53,2275,110,22.5,56,4500,34,36,7898
toyota,95.7,166.3,64.4,52.8,2275,110,22.5,56,4500,38,47,7788
toyota,95.7,166.3,64.4,53,2094,98,9,70,4800,38,47,7738
toyota,95.7,166.3,64.4,52.8,2122,98,9,70,4800,28,34,8358
toyota,95.7,166.3,64.4,52.8,2140,98,9,70,4800,28,34,9258
toyota,94.5,168.7,64,52.6,2169,98,9,70,4800,29,34,8058
toyota,94.5,168.7,64,52.6,2204,98,9,70,4800,29,34,8238
toyota,94.5,168.7,64,52.6,2265,98,9.4,112,6600,26,29,9298
toyota,94.5,168.7,64,52.6,2300,98,9.4,112,6600,26,29,9538
